,pVal,phase,peak.shape,period,diel
SAR116_K03694,2.59098129998235e-08,12,8,24,YES
Crocosphaera_K04077,2.63391092940986e-08,20,12,24,YES
High-light Pro_K00600,2.63391092940986e-08,12,12,24,YES
Crocosphaera_K00518,2.72053036498147e-08,24,16,24,YES
Crocosphaera_K05369,2.72053036498147e-08,24,16,24,YES
High-light Pro_K01738,2.73624145734661e-08,8,20,24,YES
High-light Pro_K02919,2.85007942998058e-08,24,16,24,YES
High-light Pro_K00616,3.10333891041264e-08,12,16,24,YES
Eukaryota_K02109,3.25850585593327e-08,4,16,24,YES
High-light Pro_K02970,3.29457688003159e-08,4,16,24,YES
High-light Pro_K01802,3.4401553336281e-08,4,12,24,YES
SAR11_K03043,4.45905797841443e-08,4,12,24,YES
High-light Pro_K02708,4.70175885144707e-08,8,12,24,YES
High-light Pro_K03469,4.70783452428742e-08,24,16,24,YES
High-light Pro_K03403,4.93684679401942e-08,8,12,24,YES
High-light Pro_K06890,4.93684679401942e-08,12,12,24,YES
High-light Pro_K02988,5.17861797671616e-08,24,16,24,YES
Eukaryota_K02358,5.47248291469322e-08,4,8,24,YES
High-light Pro_K00162,5.47248291469322e-08,4,8,24,YES
SAR11_K00259,5.73307733920242e-08,4,8,24,YES
High-light Pro_K02864,8.37460841125514e-08,24,16,24,YES
Eukaryota_K02867,8.5100577156681e-08,4,8,24,YES
High-light Pro_K01937,8.57358702137753e-08,8,20,24,YES
High-light Pro_K02706,8.61838641251669e-08,8,12,24,YES
Eukaryota_K02705,8.7933388318179e-08,12,8,24,YES
High-light Pro_K03495,8.7933388318179e-08,24,16,24,YES
High-light Pro_K02274,8.91811595682886e-08,12,16,24,YES
Viruses_K02706,9.04930573314253e-08,8,12,24,YES
Crocosphaera_K02112,9.21206925238066e-08,24,16,24,YES
Crocosphaera_K08698,9.21206925238066e-08,24,16,24,YES
SAR11-like_K02276,9.21206925238066e-08,16,8,24,YES
High-light Pro_K01601,9.36402175467031e-08,4,8,24,YES
Crocosphaera_K00820,9.54646979439201e-08,4,16,24,YES
Crocosphaera_K00134,1.0984680336013e-07,16,12,24,YES
Crocosphaera_K01924,1.0984680336013e-07,4,12,24,YES
Crocosphaera_K00855,1.15339143528136e-07,4,12,24,YES
Crocosphaera_K09772,1.15339143528136e-07,4,12,24,YES
High-light Pro_K02952,1.31247350194671e-07,4,12,24,YES
High-light Pro_K02965,1.36218721539311e-07,4,8,24,YES
Eukaryota_K02706,1.43029657616276e-07,12,8,24,YES
Crocosphaera_K00958,1.46045913906521e-07,24,16,24,YES
High-light Pro_K02890,1.46045913906521e-07,24,16,24,YES
SAR116_K04077,1.46045913906521e-07,12,8,24,YES
SAR86_K03798,1.49840593693242e-07,8,16,24,YES
High-light Pro_K05574,1.5028633541352e-07,8,12,24,YES
Crocosphaera_K05379,1.57703734202681e-07,4,8,24,YES
Eukaryota_K02110,1.57703734202681e-07,4,16,24,YES
SAR11_K05813,1.57703734202681e-07,4,8,24,YES
High-light Pro_K01755,1.60650505297173e-07,24,16,24,YES
SAR11_K02523,1.60650505297173e-07,16,8,24,YES
Crocosphaera_K00228,1.62464738208209e-07,24,12,24,YES
High-light Pro_K02636,1.62464738208209e-07,12,12,24,YES
High-light Pro_K02707,1.70201154313362e-07,8,12,24,YES
SAR92_K03798,1.76631564349215e-07,8,16,24,YES
High-light Pro_K03596,1.85042591222987e-07,8,16,24,YES
Crocosphaera_K00150,2.00475865682232e-07,4,12,24,YES
Crocosphaera_K01624,2.00475865682232e-07,4,12,24,YES
Crocosphaera_K02716,2.10022335476624e-07,4,12,24,YES
High-light Pro_K03798,2.10249657018559e-07,8,12,24,YES
SAR92_K07167,2.39679550817936e-07,12,12,24,YES
Crocosphaera_K02109,2.47281146979795e-07,20,16,24,YES
Crocosphaera_K00688,2.49994952751755e-07,16,16,24,YES
Crocosphaera_K02030,2.616330672994e-07,4,8,24,YES
High-light Pro_K00284,2.616330672994e-07,12,16,24,YES
Marinimicrobia_K13993,2.616330672994e-07,12,16,24,YES
Crocosphaera_K02641,2.62494700389342e-07,16,16,24,YES
SAR11_K04077,2.62494700389342e-07,12,8,24,YES
SAR116_K03798,2.62494700389342e-07,12,8,24,YES
Roseobacter_K00600,2.72437443078621e-07,8,12,24,YES
Crocosphaera_K08697,2.7499444802693e-07,24,16,24,YES
Crocosphaera_K08696,2.86059315232552e-07,24,12,24,YES
Other Bacteroidetes_K01883,2.86059315232552e-07,8,12,24,YES
Crocosphaera_K00012,3.42575667521318e-07,4,12,24,YES
Crocosphaera_K17892,3.42575667521318e-07,4,12,24,YES
Low-light Pro_K03702,3.42575667521318e-07,4,12,24,YES
High-light Pro_K00382,3.58888794546142e-07,4,12,24,YES
OM60/NOR5_K04043,4.1506184389123e-07,8,12,24,YES
Eukaryota_K02112,4.27907551980222e-07,4,16,24,YES
Eukaryota_K02715,4.27907551980222e-07,4,16,24,YES
Other Alphaproteobacteria_K02014,4.27907551980222e-07,4,8,24,YES
SAR92_K02275,4.27907551980222e-07,12,16,24,YES
Crocosphaera_K02703,4.40232933028274e-07,12,8,24,YES
Low-light Pro_K03403,4.40232933028274e-07,8,16,24,YES
Crocosphaera_K05383,4.6254924544083e-07,24,16,24,YES
Other Alphaproteobacteria_K02256,4.6254924544083e-07,12,8,24,YES
Crocosphaera_K13993,4.68660652168815e-07,12,16,24,YES
SAR324_K04487,4.94562293959589e-07,12,12,24,YES
Other Alphaproteobacteria_K03522,5.03327056717665e-07,8,16,24,YES
--_K02703,5.18112879386236e-07,8,12,24,YES
Eukaryota_K02887,5.18112879386236e-07,24,12,24,YES
High-light Pro_K14331,5.18112879386236e-07,8,12,24,YES
High-light Pro_K06118,5.48627871007829e-07,4,12,24,YES
Eukaryota_K02113,5.49851043280786e-07,4,12,24,YES
Roseobacter_K03520,5.66578976391308e-07,12,16,24,YES
Eukaryota_K02111,5.7605926455822e-07,4,12,24,YES
High-light Pro_K00690,5.7605926455822e-07,4,12,24,YES
High-light Pro_K02724,5.7605926455822e-07,4,12,24,YES
Other Alphaproteobacteria_K08927,5.94907925210873e-07,24,12,24,YES
Crocosphaera_K00033,6.03490658108612e-07,16,12,24,YES
High-light Pro_K02113,6.03490658108612e-07,4,12,24,YES
--_K02355,6.23236874030439e-07,4,12,24,YES
SAR324_K04077,6.57549991273542e-07,12,16,24,YES
Eukaryota_K02871,6.90427490837219e-07,4,8,24,YES
High-light Pro_K02358,6.90427490837219e-07,4,8,24,YES
High-light Pro_K02874,6.95700774905269e-07,24,16,24,YES
Low-light Pro_K03320,6.95700774905269e-07,16,16,24,YES
Crocosphaera_K00549,7.02589340254949e-07,24,16,24,YES
High-light Pro_K02982,7.02589340254949e-07,24,16,24,YES
Eukaryota_K02635,7.23304990400897e-07,4,16,24,YES
Eukaryota_K02933,7.23304990400897e-07,4,8,24,YES
High-light Pro_K02961,7.30485813650533e-07,24,16,24,YES
High-light Pro_K06966,7.30485813650533e-07,12,8,24,YES
Other Alphaproteobacteria_K03518,7.30485813650533e-07,16,8,24,YES
SAR92_K01338,7.30485813650533e-07,12,8,24,YES
Other Alphaproteobacteria_K02050,7.65270852395796e-07,16,16,24,YES
High-light Pro_K01714,8.00423514596861e-07,8,12,24,YES
Eukaryota_K02890,8.40444690326704e-07,24,12,24,YES
High-light Pro_K00826,8.40444690326704e-07,8,12,24,YES
High-light Pro_K02601,8.40444690326704e-07,8,12,24,YES
High-light Pro_K00518,8.80465866056547e-07,8,12,24,YES
Marinimicrobia_K04077,8.80465866056547e-07,12,12,24,YES
SAR11_K00411,8.80465866056547e-07,12,12,24,YES
SAR11-like_K06890,8.80465866056547e-07,12,12,24,YES
Crocosphaera_K00262,9.08594447353938e-07,4,12,24,YES
High-light Pro_K00962,9.08594447353938e-07,4,12,24,YES
High-light Pro_K02003,9.08594447353938e-07,4,12,24,YES
Crocosphaera_K00600,9.54024169721635e-07,16,12,24,YES
Crocosphaera_K01783,9.54024169721635e-07,4,12,24,YES
High-light Pro_K02913,9.54024169721635e-07,4,12,24,YES
Low-light Pro_K03592,9.54024169721635e-07,4,12,24,YES
Crocosphaera_K02111,9.54733970486797e-07,24,12,24,YES
High-light Pro_K03386,9.59225445481431e-07,4,8,24,YES
Crocosphaera_K02492,9.99453892089332e-07,4,12,24,YES
Crocosphaera_K06861,1.09970208656157e-06,4,16,24,YES
Eukaryota_K02707,1.09970208656157e-06,4,16,24,YES
OM60/NOR5_K06891,1.09970208656157e-06,4,16,24,YES
High-light Pro_K02888,1.13315795278262e-06,24,16,24,YES
High-light Pro_K02916,1.13315795278262e-06,24,16,24,YES
High-light Pro_K03320,1.13315795278262e-06,16,16,24,YES
SAR116_K00124,1.13315795278262e-06,16,16,24,YES
SAR11_K03782,1.15671560713083e-06,16,8,24,YES
SAR92_K11749,1.20443561861506e-06,4,16,24,YES
SAR11_K00239,1.21179730270849e-06,16,8,24,YES
High-light Pro_K02355,1.24647374806088e-06,24,16,24,YES
High-light Pro_K02867,1.24647374806088e-06,24,16,24,YES
SAR11_K00394,1.24647374806088e-06,16,8,24,YES
SAR86_K04080,1.24647374806088e-06,12,8,24,YES
Other Alphaproteobacteria_K03798,1.28521597566728e-06,8,16,24,YES
High-light Pro_K02939,1.3279183071057e-06,24,20,24,YES
SAR92_K00600,1.33826541000943e-06,12,12,24,YES
Crocosphaera_K05377,1.34499667647199e-06,4,12,24,YES
OM60/NOR5_K04773,1.34947677445064e-06,8,16,24,YES
OM60/NOR5_K05808,1.34947677445064e-06,8,16,24,YES
High-light Pro_K02469,1.4051786805099e-06,8,12,24,YES
High-light Pro_K04083,1.4051786805099e-06,12,12,24,YES
High-light Pro_K02996,1.40896175036863e-06,4,12,24,YES
High-light Pro_K00928,1.47209195101037e-06,12,12,24,YES
High-light Pro_K02881,1.47209195101037e-06,24,12,24,YES
Crocosphaera_K02290,1.48311763196698e-06,4,12,24,YES
Crocosphaera_K03088,1.55727351356533e-06,4,12,24,YES
Crocosphaera_K02707,1.63142939516368e-06,4,12,24,YES
Eukaryota_K02888,1.73011469714263e-06,4,8,24,YES
SAR92_K02078,1.73011469714263e-06,4,8,24,YES
Crocosphaera_K02377,1.81250111129227e-06,4,16,24,YES
Eukaryota_K02708,1.81250111129227e-06,4,16,24,YES
High-light Pro_K02914,1.81250111129227e-06,4,8,24,YES
High-light Pro_K02892,1.81854089616533e-06,24,16,24,YES
SAR86_K00239,1.81854089616533e-06,12,8,24,YES
Other Gammaproteobacteria_K07397,1.87667566999187e-06,8,16,24,YES
Crocosphaera_K00975,1.90946794097359e-06,24,16,24,YES
Crocosphaera_K02284,1.90946794097359e-06,24,16,24,YES
Crocosphaera_K03075,1.90946794097359e-06,24,16,24,YES
High-light Pro_K02963,1.90946794097359e-06,8,8,24,YES
Crocosphaera_K00616,1.99187746065855e-06,16,16,24,YES
Crocosphaera_K03545,2.00039498578186e-06,16,16,24,YES
Cyanothece_K01507,2.09132203059013e-06,24,16,24,YES
SAR11-like_K00413,2.09132203059013e-06,16,8,24,YES
SAR86_K04087,2.09132203059013e-06,12,8,24,YES
Crocosphaera_K06919,2.16383629839784e-06,24,8,24,YES
High-light Pro_K15034,2.24618996051508e-06,8,20,24,YES
Cyanothece_K01495,2.26687612213107e-06,24,8,24,YES
Crocosphaera_K03839,2.31343121426166e-06,20,12,24,YES
High-light Pro_K01990,2.31343121426166e-06,12,12,24,YES
OM60/NOR5_K04083,2.31343121426166e-06,12,12,24,YES
Other Alphaproteobacteria_K08926,2.31343121426166e-06,24,12,24,YES
SAR11-like_K03667,2.31343121426166e-06,12,12,24,YES
SAR116_K00249,2.31343121426166e-06,8,12,24,YES
High-light Pro_K02931,2.35885797512325e-06,4,12,24,YES
High-light Pro_K02886,2.38778408225615e-06,4,12,24,YES
Crocosphaera_K01012,2.42359460541698e-06,24,12,24,YES
High-light Pro_K03060,2.42359460541698e-06,8,12,24,YES
OM60/NOR5_K08926,2.42359460541698e-06,24,12,24,YES
SAR11_K04078,2.42359460541698e-06,12,12,24,YES
Crocosphaera_K02096,2.50717328636896e-06,4,12,24,YES
High-light Pro_K02954,2.50717328636896e-06,4,12,24,YES
High-light Pro_K13693,2.50717328636896e-06,16,12,24,YES
--_K02014,2.68999335294399e-06,4,8,24,YES
Crocosphaera_K00927,2.68999335294399e-06,4,8,24,YES
Crocosphaera_K04037,2.68999335294399e-06,4,8,24,YES
Crocosphaera_K11532,2.68999335294399e-06,4,8,24,YES
Cyanothece_K02094,2.87767633644429e-06,24,16,24,YES
High-light Pro_K01409,2.87767633644429e-06,16,8,24,YES
High-light Pro_K07027,2.97660714527771e-06,4,8,24,YES
Crocosphaera_K02114,3.14554661199466e-06,24,16,24,YES
Crocosphaera_K02591,3.16544397008872e-06,16,16,24,YES
Crocosphaera_K03072,3.16544397008872e-06,24,16,24,YES
Crocosphaera_K03737,3.16544397008872e-06,16,16,24,YES
SAR11-like_K00239,3.16544397008872e-06,16,8,24,YES
SAR92_K04043,3.16544397008872e-06,12,8,24,YES
High-light Pro_K01687,3.24263998381907e-06,8,20,24,YES
High-light Pro_K01602,3.27426785980548e-06,4,8,24,YES
Crocosphaera_K02092,3.30932778691094e-06,24,16,24,YES
SAR11_K06890,3.30932778691094e-06,12,8,24,YES
OM60/NOR5_K13991,3.42452243770082e-06,24,8,24,YES
SAR92_K00239,3.42452243770082e-06,8,16,24,YES
Crocosphaera_K02285,3.46310262730393e-06,4,12,24,YES
Other Gammaproteobacteria_K00114,3.5875949347342e-06,8,16,24,YES
SAR116_K04078,3.63625775866913e-06,8,12,24,YES
Other Alphaproteobacteria_K00239,3.69163330925061e-06,12,12,24,YES
Crocosphaera_K02586,3.75335133998374e-06,20,12,24,YES
Other Alphaproteobacteria_K00256,3.75335133998374e-06,12,12,24,YES
Other Gammaproteobacteria_K11180,3.75335133998374e-06,12,12,24,YES
Crocosphaera_K13821,3.80941289003433e-06,4,12,24,YES
High-light Pro_K02722,3.93208235617344e-06,8,12,24,YES
High-light Pro_K03100,3.93208235617344e-06,8,12,24,YES
High-light Pro_K08903,3.93208235617344e-06,8,12,24,YES
SAR86_K00311,3.93208235617344e-06,8,12,24,YES
High-light Pro_K00688,3.9384878958297e-06,12,16,24,YES
Crocosphaera_K00677,3.98375492131709e-06,4,12,24,YES
Crocosphaera_K01000,3.98375492131709e-06,4,12,24,YES
Crocosphaera_K03076,3.98375492131709e-06,4,12,24,YES
Crocosphaera_K04078,4.11081337236314e-06,20,12,24,YES
Crocosphaera_K02704,4.13541229062118e-06,4,16,24,YES
Crocosphaera_K05378,4.13541229062118e-06,4,8,24,YES
High-light Pro_K04487,4.13541229062118e-06,4,8,24,YES
High-light Pro_K05808,4.13541229062118e-06,12,16,24,YES
Crocosphaera_K18814,4.17345753661791e-06,4,12,24,YES
OM60/NOR5_K00324,4.33233668541267e-06,4,8,24,YES
SAR86_K00411,4.44179573523286e-06,8,20,24,YES
--_K03782,4.49306280975856e-06,16,8,24,YES
Crocosphaera_K00510,4.49306280975856e-06,24,16,24,YES
Roseobacter_K17223,4.71771595024649e-06,16,16,24,YES
Crocosphaera_K09903,4.73235505345724e-06,24,12,24,YES
High-light Pro_K00855,4.84540367317778e-06,4,8,24,YES
High-light Pro_K01501,4.84559534752675e-06,8,20,24,YES
Other Alphaproteobacteria_K08226,4.92452734476917e-06,20,12,24,YES
SAR11-like_K08738,4.94236909073442e-06,16,8,24,YES
--_K01601,5.07613718142434e-06,4,8,24,YES
Crocosphaera_K00325,5.07613718142434e-06,16,16,24,YES
SAR116_K03782,5.55656655915565e-06,12,16,24,YES
SAR11-like_K00411,5.85194149351821e-06,16,4,24,YES
Crocosphaera_K01679,5.95321429055542e-06,16,12,24,YES
Crocosphaera_K01682,5.95321429055542e-06,16,12,24,YES
High-light Pro_K04752,6.00513444108072e-06,12,12,24,YES
Other Alphaproteobacteria_K02056,6.00513444108072e-06,12,12,24,YES
Roseobacter_K00412,6.00513444108072e-06,12,12,24,YES
SAR86_K04078,6.00513444108072e-06,8,12,24,YES
Crocosphaera_K00241,6.25087500508319e-06,4,12,24,YES
Crocosphaera_K02699,6.25087500508319e-06,4,12,24,YES
Crocosphaera_K02709,6.25087500508319e-06,4,12,24,YES
Crocosphaera_K05376,6.25087500508319e-06,4,12,24,YES
High-light Pro_K02959,6.25087500508319e-06,4,12,24,YES
OM60/NOR5_K14469,6.25087500508319e-06,4,12,24,YES
SAR11_K00962,6.25087500508319e-06,4,12,24,YES
Crocosphaera_K02291,6.28892328576224e-06,4,8,24,YES
Crocosphaera_K03431,6.28892328576224e-06,4,16,24,YES
Crocosphaera_K00615,6.29109322398933e-06,24,12,24,YES
SAR11_K00928,6.29109322398933e-06,8,12,24,YES
SAR116_K00412,6.29109322398933e-06,12,12,24,YES
SAR116_K04080,6.29109322398933e-06,8,12,24,YES
Crocosphaera_K02636,6.54853571961096e-06,4,12,24,YES
Rivulariaceae_K02276,6.57705200689794e-06,12,12,24,YES
High-light Pro_K01872,6.59872586593648e-06,4,4,24,YES
SAR92_K03832,6.59872586593648e-06,4,4,24,YES
High-light Pro_K02357,6.92620525460787e-06,24,16,24,YES
Crocosphaera_K00789,7.27251551733826e-06,24,16,24,YES
High-light Pro_K00099,7.27251551733826e-06,8,8,24,YES
High-light Pro_K01649,7.27251551733826e-06,24,16,24,YES
SAR86_K04088,7.38679101715376e-06,12,8,24,YES
Crocosphaera_K00324,7.4256170794748e-06,16,16,24,YES
SAR11-like_K00412,7.61882578006866e-06,16,8,24,YES
SAR11-like_K02274,7.61882578006866e-06,16,8,24,YES
SAR116_K04088,7.61882578006866e-06,12,8,24,YES
High-light Pro_K00524,7.96513604279905e-06,16,8,24,YES
Crocosphaera_K02588,8.33484983873348e-06,20,12,24,YES
SAR11_K15012,8.33484983873348e-06,12,12,24,YES
SAR86_K04487,8.33484983873348e-06,8,12,24,YES
SAR92_K03667,8.66533752095507e-06,12,12,24,YES
SAR92_K04079,8.90213444332489e-06,8,20,24,YES
SAR116_K06890,9.02932839859085e-06,8,12,24,YES
High-light Pro_K02115,9.22934032986243e-06,4,12,24,YES
Crocosphaera_K01784,9.46471010691447e-06,4,8,24,YES
Crocosphaera_K03798,9.46471010691447e-06,4,16,24,YES
SAR92_K02959,9.46471010691447e-06,4,8,24,YES
Crocosphaera_K03786,9.48079481852039e-06,8,12,24,YES
High-light Pro_K01810,9.48079481852039e-06,8,12,24,YES
SAR86_K00174,9.48079481852039e-06,12,12,24,YES
SAR92_K02404,9.48079481852039e-06,24,12,24,YES
Crocosphaera_K02719,9.69080734635555e-06,4,12,24,YES
Eukaryota_K02114,9.69080734635555e-06,4,12,24,YES
High-light Pro_K00033,9.69080734635555e-06,16,12,24,YES
Eukaryota_K02704,9.91541058819612e-06,4,16,24,YES
Crocosphaera_K02864,9.93226123844993e-06,24,12,24,YES
High-light Pro_K00812,9.93226123844993e-06,12,12,24,YES
High-light Pro_K02493,9.93226123844993e-06,8,12,24,YES
Low-light Pro_K02986,9.93226123844993e-06,24,12,24,YES
SAR11_K03798,9.93226123844993e-06,12,12,24,YES
SAR116_K13643,9.93226123844993e-06,12,12,24,YES
Viruses_K02716,1.01522743628487e-05,4,12,24,YES
SAR86_K04043,1.0446466254665e-05,8,16,24,YES
Eukaryota_K02906,1.08372435225319e-05,4,8,24,YES
OM60/NOR5_K00249,1.10439364049697e-05,16,4,24,YES
Crocosphaera_K02906,1.10748999277518e-05,24,16,24,YES
Crocosphaera_K04487,1.10748999277518e-05,16,16,24,YES
High-light Pro_K02887,1.10748999277518e-05,24,16,24,YES
High-light Pro_K02895,1.10748999277518e-05,24,16,24,YES
High-light Pro_K02956,1.10748999277518e-05,12,8,24,YES
SAR86_K04084,1.10748999277518e-05,12,8,24,YES
SAR86_K01338,1.16022761147876e-05,12,8,24,YES
Crocosphaera_K00031,1.21296523018234e-05,16,16,24,YES
Crocosphaera_K01810,1.21296523018234e-05,16,16,24,YES
High-light Pro_K00003,1.25499277329201e-05,24,20,24,YES
Roseobacter_K00335,1.29967823498337e-05,16,4,24,YES
SAR92_K04077,1.29967823498337e-05,8,20,24,YES
High-light Pro_K01589,1.32216975926561e-05,8,16,24,YES
High-light Pro_K03555,1.32216975926561e-05,8,16,24,YES
Roseobacter_K01662,1.32216975926561e-05,24,8,24,YES
SAR86_K01637,1.41020555782026e-05,4,8,24,YES
Crocosphaera_K02689,1.41440325323329e-05,4,12,24,YES
Crocosphaera_K04038,1.42392126443192e-05,24,12,24,YES
High-light Pro_K02863,1.46920811748524e-05,24,12,24,YES
Eukaryota_K02634,1.47735820343075e-05,4,16,24,YES
SAR11_K17321,1.47735820343075e-05,4,8,24,YES
SAR11_K01916,1.47787858116092e-05,12,12,24,YES
SAR324_K03798,1.47787858116092e-05,12,12,24,YES
Crocosphaera_K00548,1.48512341589496e-05,4,12,24,YES
Crocosphaera_K01448,1.48512341589496e-05,4,12,24,YES
Crocosphaera_K02093,1.48512341589496e-05,4,12,24,YES
Crocosphaera_K03110,1.48512341589496e-05,4,12,24,YES
Crocosphaera_K10960,1.48512341589496e-05,4,12,24,YES
High-light Pro_K01507,1.48512341589496e-05,4,12,24,YES
Crocosphaera_K05582,1.54451084904124e-05,4,16,24,YES
Crocosphaera_K06287,1.54825375169239e-05,24,12,24,YES
Roseobacter_K00239,1.54825375169239e-05,12,12,24,YES
SAR324_K04078,1.54825375169239e-05,12,12,24,YES
Crocosphaera_K03403,1.55584357855662e-05,4,12,24,YES
Eukaryota_K01602,1.61166349465173e-05,4,8,24,YES
SAR116_K03568,1.61862892222387e-05,8,12,24,YES
SAR92_K03088,1.6669699677467e-05,12,8,24,YES
SAR92_K04078,1.6669699677467e-05,12,8,24,YES
Crocosphaera_K01735,1.68756058421508e-05,4,8,24,YES
Crocosphaera_K00162,1.73191855099711e-05,4,8,24,YES
OM60/NOR5_K04078,1.73306750419101e-05,8,20,24,YES
Crocosphaera_K02595,1.74634949002035e-05,16,16,24,YES
High-light Pro_K03581,1.81184329983606e-05,8,20,24,YES
Crocosphaera_K01599,1.825729012294e-05,24,16,24,YES
SAR11_K03072,1.82688919387091e-05,12,12,24,YES
SAR11-like_K00333,1.96720278772749e-05,16,8,24,YES
Eukaryota_K02950,2.08094266951152e-05,4,8,24,YES
High-light Pro_K11717,2.08735543733907e-05,8,16,24,YES
SAR11_K02276,2.11404797815548e-05,16,4,24,YES
Crocosphaera_K02720,2.14365938017019e-05,4,12,24,YES
Crocosphaera_K02639,2.1800351775835e-05,4,8,24,YES
Crocosphaera_K07334,2.1800351775835e-05,4,16,24,YES
Eukaryota_K02881,2.20381217622787e-05,24,12,24,YES
SAR11-like_K10439,2.20381217622787e-05,4,4,24,YES
Crocosphaera_K14331,2.21014106807164e-05,12,4,24,YES
Crocosphaera_K00284,2.2508423491787e-05,16,12,24,YES
High-light Pro_K05577,2.2508423491787e-05,4,12,24,YES
Other Gammaproteobacteria_K04043,2.2758211397317e-05,8,12,24,YES
SAR116_K03686,2.2758211397317e-05,8,12,24,YES
Eukaryota_K02694,2.27912768565547e-05,4,16,24,YES
Crocosphaera_K00799,2.38419357495702e-05,8,12,24,YES
Crocosphaera_K01602,2.38419357495702e-05,24,12,24,YES
Crocosphaera_K02594,2.38419357495702e-05,20,12,24,YES
Roseobacter_K08927,2.38419357495702e-05,24,12,24,YES
SAR11_K04080,2.38419357495702e-05,12,12,24,YES
SAR11-like_K00382,2.38419357495702e-05,24,12,24,YES
SAR11-like_K04088,2.38419357495702e-05,12,12,24,YES
Roseobacter_K02258,2.49256601018234e-05,12,12,24,YES
OM60/NOR5_K03687,2.50204662036794e-05,8,20,24,YES
Cyanothece_K02713,2.50457677080271e-05,4,16,24,YES
Roseobacter_K04771,2.50457677080271e-05,4,16,24,YES
Other Gammaproteobacteria_K02275,2.58710569232735e-05,16,4,24,YES
Crocosphaera_K00602,2.59935646996673e-05,16,8,24,YES
Crocosphaera_K01251,2.59935646996673e-05,24,16,24,YES
Crocosphaera_K01953,2.59935646996673e-05,16,16,24,YES
Crocosphaera_K02115,2.59935646996673e-05,24,16,24,YES
OM60/NOR5_K03092,2.60654564891427e-05,8,16,24,YES
Crocosphaera_K04035,2.66269748493152e-05,4,12,24,YES
High-light Pro_K02878,2.7175090367834e-05,24,16,24,YES
SAR116_K00239,2.7175090367834e-05,12,8,24,YES
High-light Pro_K02950,2.73066687029114e-05,24,16,24,YES
